"","Date","US.Institutional","X","US.Individual"
"","Index Value","Standard Error","Index Value","Standard Error"
"12/2001","74.55","4.15","89.09","2.97"
"11/2001","72.45","4.51","90.32","3.07"
"10/2001","78.57","4.48","92.50","2.94"
"09/2001","76.74","4.56","88.64","3.38"
"08/2001","77.11","4.61","90.79","3.32"
"07/2001","76.25","4.76","90.14","3.54"
"04/2001","85.71","5.00","89.55","3.74"
"10/2000","74.07","8.43","75.61","6.71"
"04/2000","56.82","7.47","76.34","4.41"
"10/1999","66.67","6.60","77.14","5.02"
"04/1999","54.74","5.11","75.59","3.81"
"10/1998","77.01","4.51","-","-"
"04/1998","62.62","4.68","-","-"
"10/1997","83.93","4.91","-","-"
"04/1997","50.57","5.36","-","-"
"10/1996","69.64","6.14","66.99","4.63"
"04/1996","65.52","6.24","-","-"
"10/1995","73.08","5.02","-","-"
"04/1995","67.12","5.50","-","-"
"10/1994","67.16","5.74","-","-"
"04/1994","65.05","4.70","-","-"
"10/1993","57.69","4.84","-","-"
"04/1993","56.90","4.60","-","-"
"10/1992","69.61","4.55","-","-"
"04/1992","75.68","3.53","-","-"
"10/1991","81.40","3.43","-","-"
"04/1991","75.47","4.18","-","-"
"10/1990","56.25","4.69","-","-"
"04/1990","47.17","4.85","-","-"
"10/1989","64.00","4.29","62.50","5.16"
